Date,Price,Open,High,Low,Change
5-Dec-16,1.0764,1.0674,1.0798,1.0505,1.86%
4-Dec-16,1.0567,1.0629,1.0652,1.0507,-0.99%
2-Dec-16,1.0673,1.0663,1.0692,1.0625,0.10%
1-Dec-16,1.0662,1.059,1.067,1.0584,0.70%
30-Nov-16,1.0588,1.0649,1.0669,1.0554,-0.58%
29-Nov-16,1.065,1.0615,1.0657,1.0565,0.33%
28-Nov-16,1.0615,1.0595,1.0686,1.0563,0.06%
27-Nov-16,1.0609,1.061,1.0612,1.0595,0.21%
25-Nov-16,1.0587,1.0551,1.0631,1.0538,0.31%
24-Nov-16,1.0554,1.0554,1.0587,1.0517,-0.06%
23-Nov-16,1.056,1.0629,1.0646,1.0526,-0.62%
22-Nov-16,1.0626,1.0627,1.066,1.0583,-0.03%
21-Nov-16,1.0629,1.0583,1.0652,1.0579,0.43%
20-Nov-16,1.0583,1.0593,1.0595,1.0579,-0.05%
18-Nov-16,1.0588,1.0625,1.0645,1.057,-0.36%
17-Nov-16,1.0626,1.069,1.0746,1.0617,-0.60%
16-Nov-16,1.069,1.0724,1.0764,1.0667,-0.30%
15-Nov-16,1.0722,1.0736,1.0817,1.0711,-0.14%
14-Nov-16,1.0737,1.085,1.0852,1.0709,-0.79%
13-Nov-16,1.0823,1.0835,1.084,1.0819,-0.30%
11-Nov-16,1.0856,1.0897,1.0929,1.0833,-0.34%
10-Nov-16,1.0893,1.0911,1.0958,1.0866,-0.15%
9-Nov-16,1.0909,1.1023,1.13,1.0903,-1.06%
8-Nov-16,1.1026,1.1042,1.107,1.1008,-0.13%
7-Nov-16,1.104,1.1137,1.1139,1.1029,-0.50%
6-Nov-16,1.1095,1.1061,1.11,1.1061,-0.39%
4-Nov-16,1.1138,1.1105,1.1146,1.108,0.30%
3-Nov-16,1.1105,1.1098,1.1128,1.1059,0.07%
2-Nov-16,1.1097,1.1056,1.1126,1.1051,0.37%
1-Nov-16,1.1056,1.0981,1.1071,1.0958,0.68%
31-Oct-16,1.0981,1.0986,1.0994,1.0936,-0.02%
30-Oct-16,1.0983,1.0991,1.0991,1.0976,-0.04%
28-Oct-16,1.0987,1.0899,1.0995,1.0893,0.83%
27-Oct-16,1.0897,1.0909,1.0945,1.0884,-0.11%
26-Oct-16,1.0909,1.0889,1.0947,1.0872,0.19%
25-Oct-16,1.0888,1.0882,1.0906,1.085,0.05%
24-Oct-16,1.0883,1.0879,1.0903,1.0861,0.03%
23-Oct-16,1.088,1.0882,1.0884,1.0873,-0.04%
21-Oct-16,1.0884,1.0929,1.0933,1.0859,-0.42%
20-Oct-16,1.093,1.0974,1.1041,1.0916,-0.40%
19-Oct-16,1.0974,1.0981,1.1006,1.0955,-0.06%
18-Oct-16,1.0981,1.1,1.1029,1.097,-0.16%
17-Oct-16,1.0999,1.0975,1.1011,1.0965,0.30%
16-Oct-16,1.0966,1.0969,1.0974,1.0966,-0.05%
14-Oct-16,1.0971,1.1056,1.1062,1.0968,-0.77%
13-Oct-16,1.1056,1.1004,1.1058,1.0983,0.44%
12-Oct-16,1.1008,1.1053,1.1072,1.1003,-0.42%
11-Oct-16,1.1054,1.1136,1.1144,1.1047,-0.75%
10-Oct-16,1.1138,1.1196,1.1202,1.1128,-0.51%
9-Oct-16,1.1195,1.118,1.1204,1.118,-0.05%
7-Oct-16,1.1201,1.1151,1.1207,1.1103,0.45%
6-Oct-16,1.1151,1.1205,1.1214,1.1139,-0.49%
5-Oct-16,1.1206,1.1206,1.1237,1.1191,0.02%
4-Oct-16,1.1204,1.121,1.124,1.1138,-0.06%
3-Oct-16,1.1211,1.1235,1.1245,1.1205,-0.20%
2-Oct-16,1.1233,1.1229,1.1244,1.1228,-0.07%
30-Sep-16,1.1241,1.1225,1.1253,1.1153,0.16%
29-Sep-16,1.1223,1.1217,1.1251,1.1197,0.06%
28-Sep-16,1.1216,1.1214,1.1238,1.1181,0.01%
27-Sep-16,1.1215,1.1253,1.1262,1.119,-0.35%
26-Sep-16,1.1254,1.1221,1.1279,1.122,0.14%
25-Sep-16,1.1238,1.1229,1.1241,1.1224,0.11%
23-Sep-16,1.1226,1.1209,1.1244,1.1195,0.16%
22-Sep-16,1.1208,1.1193,1.1258,1.1181,0.17%
21-Sep-16,1.1189,1.1152,1.12,1.1123,0.30%
20-Sep-16,1.1155,1.1178,1.1216,1.1147,-0.17%
19-Sep-16,1.1174,1.1161,1.1198,1.1147,0.14%
18-Sep-16,1.1158,1.1154,1.116,1.1153,0.03%
16-Sep-16,1.1155,1.1244,1.1256,1.1147,-0.79%
15-Sep-16,1.1244,1.1249,1.1286,1.122,-0.05%
14-Sep-16,1.125,1.1216,1.1274,1.1208,0.27%
13-Sep-16,1.122,1.1236,1.1262,1.1203,-0.12%
12-Sep-16,1.1234,1.1232,1.1269,1.1211,-0.05%
11-Sep-16,1.124,1.1237,1.124,1.123,0.06%
9-Sep-16,1.1233,1.1262,1.1288,1.12,-0.25%
8-Sep-16,1.1261,1.124,1.1329,1.1234,0.20%
7-Sep-16,1.1239,1.1255,1.1271,1.1228,-0.15%
6-Sep-16,1.1256,1.1147,1.1267,1.114,0.98%
5-Sep-16,1.1147,1.1153,1.1185,1.114,-0.11%
4-Sep-16,1.1159,1.1159,1.1159,1.1153,0.03%
2-Sep-16,1.1156,1.1197,1.1254,1.1151,-0.38%
1-Sep-16,1.1198,1.1157,1.1207,1.1128,0.36%
31-Aug-16,1.1158,1.1143,1.1167,1.1123,0.13%
30-Aug-16,1.1143,1.1189,1.1198,1.113,-0.41%
