Date,Price,Open,High,Low,Change
5-Jun-17,6.804,6.7986,6.8059,6.7973,-0.11%
2-Jun-17,6.8117,6.8052,6.8242,6.8045,0.06%
1-Jun-17,6.8078,6.8056,6.8119,6.7879,-0.03%
31-May-17,6.8101,6.8528,6.8529,6.8101,-0.66%
30-May-17,6.8556,6.8556,6.8556,6.8556,0.00%
29-May-17,6.8556,6.8556,6.8556,6.8556,0.00%
26-May-17,6.8556,6.8703,6.8703,6.849,-0.19%
25-May-17,6.8689,6.8899,6.8899,6.8653,-0.30%
24-May-17,6.8899,6.8896,6.8959,6.8895,0.00%
23-May-17,6.89,6.8848,6.8941,6.8818,0.05%
22-May-17,6.8864,6.8865,6.8961,6.8835,0.02%
19-May-17,6.885,6.89,6.8974,6.8848,-0.06%
18-May-17,6.8893,6.8849,6.8969,6.8848,0.11%
17-May-17,6.8819,6.8887,6.8963,6.8819,-0.07%
16-May-17,6.8867,6.8926,6.8964,6.8845,-0.09%
15-May-17,6.893,6.9002,6.9032,6.893,-0.09%
12-May-17,6.8994,6.9014,6.907,6.8994,-0.06%
11-May-17,6.9037,6.9034,6.908,6.9016,0.01%
10-May-17,6.9032,6.9071,6.9094,6.897,-0.06%
9-May-17,6.9074,6.9075,6.9095,6.9052,0.04%
8-May-17,6.9045,6.8993,6.9067,6.8991,0.02%
5-May-17,6.9031,6.8938,6.9032,6.8938,0.10%
4-May-17,6.8962,6.8968,6.8988,6.8901,-0.04%
3-May-17,6.8989,6.8966,6.899,6.8907,0.04%
2-May-17,6.896,6.891,6.8985,6.891,0.04%
1-May-17,6.8935,6.8935,6.8935,6.8935,0.00%
28-Apr-17,6.8935,6.8956,6.9016,6.8903,-0.06%
27-Apr-17,6.8979,6.8939,6.9009,6.8921,0.08%
26-Apr-17,6.8926,6.8833,6.8927,6.8828,0.11%
25-Apr-17,6.8847,6.8863,6.8891,6.8809,0.00%
24-Apr-17,6.8848,6.8808,6.8882,6.8807,-0.02%
21-Apr-17,6.8859,6.8814,6.8861,6.8789,0.05%
20-Apr-17,6.8822,6.8883,6.8933,6.8819,-0.08%
19-Apr-17,6.888,6.8798,6.8892,6.877,0.09%
18-Apr-17,6.8819,6.8841,6.8951,6.8806,-0.01%
17-Apr-17,6.8823,6.8825,6.8916,6.8783,-0.05%
14-Apr-17,6.8854,6.8884,6.8893,6.8821,-0.07%
13-Apr-17,6.89,6.8925,6.8925,6.8765,-0.02%
12-Apr-17,6.8915,6.8918,6.9019,6.8902,-0.01%
11-Apr-17,6.8923,6.9018,6.9068,6.891,-0.16%
10-Apr-17,6.9031,6.9093,6.9151,6.9031,0.04%
7-Apr-17,6.9004,6.8981,6.9062,6.8904,0.04%
6-Apr-17,6.8978,6.8943,6.9047,6.8943,0.04%
5-Apr-17,6.8948,6.886,6.899,6.886,0.11%
4-Apr-17,6.8871,6.8871,6.8871,6.8871,0.00%
3-Apr-17,6.8871,6.8871,6.8871,6.8871,0.00%
31-Mar-17,6.8871,6.8909,6.9064,6.8867,-0.03%
30-Mar-17,6.8894,6.8903,6.8974,6.8894,-0.01%
29-Mar-17,6.89,6.88,6.896,6.88,0.14%
28-Mar-17,6.8802,6.871,6.8892,6.8707,0.11%
27-Mar-17,6.8728,6.883,6.883,6.8677,-0.16%
24-Mar-17,6.8837,6.8877,6.8998,6.8837,-0.03%
23-Mar-17,6.8861,6.8879,6.8949,6.8849,0.05%
22-Mar-17,6.8828,6.8873,6.8959,6.8828,-0.06%
21-Mar-17,6.887,6.909,6.9114,6.887,-0.31%
20-Mar-17,6.9085,6.9049,6.9112,6.9035,0.07%
17-Mar-17,6.9034,6.8984,6.911,6.8984,0.08%
16-Mar-17,6.898,6.9162,6.9162,6.891,-0.24%
15-Mar-17,6.9147,6.9106,6.9173,6.9105,0.00%
14-Mar-17,6.915,6.9136,6.9224,6.9131,0.01%
