Date,Price,Open,High,Low,Change
16-Jun-17,1.2776,1.2754,1.2806,1.2748,0.16%
15-Jun-17,1.2755,1.275,1.2796,1.2689,0.02%
14-Jun-17,1.2752,1.2755,1.2818,1.2722,-0.01%
13-Jun-17,1.2753,1.266,1.2759,1.2642,0.77%
12-Jun-17,1.2656,1.2731,1.2771,1.2637,-0.70%
9-Jun-17,1.2745,1.2958,1.2964,1.2637,-1.61%
8-Jun-17,1.2953,1.2961,1.2979,1.2907,-0.06%
7-Jun-17,1.2961,1.2912,1.2969,1.2887,0.39%
6-Jun-17,1.2911,1.2905,1.2953,1.2874,0.06%
5-Jun-17,1.2903,1.285,1.2942,1.2847,0.12%
2-Jun-17,1.2887,1.2881,1.2908,1.2849,0.05%
1-Jun-17,1.2881,1.2889,1.2916,1.283,-0.07%
31-May-17,1.289,1.2859,1.2921,1.2769,0.25%
30-May-17,1.2858,1.2837,1.2889,1.2792,0.13%
29-May-17,1.2841,1.2807,1.2853,1.2791,0.30%
26-May-17,1.2803,1.2942,1.2948,1.2773,-1.06%
25-May-17,1.294,1.2969,1.3013,1.2929,-0.26%
24-May-17,1.2974,1.2961,1.3,1.2925,0.08%
23-May-17,1.2963,1.3001,1.3036,1.2954,-0.28%
22-May-17,1.3,1.3007,1.3044,1.2965,-0.27%
19-May-17,1.3035,1.2937,1.3041,1.2927,0.73%
18-May-17,1.294,1.2969,1.3051,1.2893,-0.25%
17-May-17,1.2973,1.2919,1.2994,1.2907,0.43%
16-May-17,1.2917,1.2896,1.2959,1.2866,0.19%
15-May-17,1.2893,1.2888,1.2941,1.2873,0.02%
12-May-17,1.2891,1.2886,1.29,1.2843,0.04%
11-May-17,1.2886,1.2942,1.2953,1.2852,-0.40%
10-May-17,1.2938,1.2933,1.2989,1.2926,0.02%
9-May-17,1.2935,1.2944,1.2961,1.2902,-0.04%
8-May-17,1.294,1.2981,1.2992,1.2929,-0.32%
5-May-17,1.2981,1.292,1.2985,1.29,0.46%
4-May-17,1.2921,1.2864,1.2931,1.283,0.42%
3-May-17,1.2867,1.294,1.2953,1.2865,-0.55%
2-May-17,1.2938,1.2887,1.2944,1.2864,0.40%
1-May-17,1.2886,1.2951,1.2955,1.2879,-0.50%
28-Apr-17,1.2951,1.2908,1.297,1.2889,0.36%
27-Apr-17,1.2904,1.2846,1.2916,1.2836,0.44%
26-Apr-17,1.2847,1.284,1.2864,1.2804,0.05%
25-Apr-17,1.2841,1.2795,1.2846,1.2772,0.37%
24-Apr-17,1.2794,1.2842,1.2871,1.277,-0.15%
21-Apr-17,1.2813,1.2813,1.2835,1.2759,0.00%
20-Apr-17,1.2813,1.2782,1.2851,1.2775,0.27%
19-Apr-17,1.2779,1.2839,1.2862,1.2768,-0.48%
18-Apr-17,1.2841,1.2569,1.2909,1.2518,2.20%
17-Apr-17,1.2565,1.2531,1.2599,1.2525,0.33%
14-Apr-17,1.2524,1.2503,1.2537,1.25,0.14%
13-Apr-17,1.2506,1.2537,1.2575,1.2497,-0.27%
12-Apr-17,1.254,1.2491,1.255,1.2479,0.39%
11-Apr-17,1.2491,1.2412,1.2497,1.2404,0.62%
10-Apr-17,1.2414,1.2384,1.2432,1.2367,0.32%
7-Apr-17,1.2374,1.2468,1.2479,1.2363,-0.77%
